@relation mydata
@attribute X numeric
@attribute propertyToResolve {'format'}
@attribute resolveTo {'Comma Separated Values','Encapsulated PostScript File Format','Extensible Hypertext Markup Language','Extensible Markup Language','GZIP Format','Hypertext Markup Language','Macromedia Flash','Microsoft Excel Format','Microsoft Powerpoint Presentation','Microsoft Word','news or mail text','Plain text','PostScript','Rich Text Format'}
@attribute format.status. {'CONFLICT'}
@attribute format.Exiftool.7.74. {'','EPS','EPS EXIF','FPX','Hypertext Markup Language','Microsoft Word','MPEG 1/2 Audio Layer 3','PPT','SWF','XLS','XMP'}
@attribute format.Jhove.1.5. {'','Extensible Markup Language','HTML Strict','HTML Transitional','Hypertext Markup Language','Plain text','XHTML'}
@attribute format.file.utility.5.03. {'','Extensible Markup Language','GZIP Format','Macromedia Flash data (compressed) version 6','Macromedia Flash data (compressed) version 7','Macromedia Flash data (compressed) version 8','Macromedia Flash data version 3','Macromedia Flash data version 4','Macromedia Flash data version 5','Microsoft Excel 5.0 Worksheet','Microsoft Excel Worksheet','Microsoft Word','news or mail text','Plain text','Postscript','PostScript document text'}
@attribute format.Droid.3.0. {'','Comma Separated Values','Encapsulated PostScript File Format','Extensible Hypertext Markup Language','Extensible Markup Language','GZIP Format','Hypertext Markup Language','Macromedia Flash','Microsoft Excel 2000-2003 Workbook (xls)','Microsoft Excel 4.0 Worksheet (xls)','Microsoft Powerpoint Presentation','Microsoft Word','Plain text','Rich Text Format'}
@attribute format.NLNZ.Metadata.Extractor.3.4GA. {'','Hypertext Markup Language','Microsoft Word'}
@attribute format.ffident.0.2. {'','Extensible Markup Language','GZIP Format','Hypertext Markup Language','Microsoft Excel Format','Microsoft Word','Postscript','PostScript','Rich Text Format'}
@attribute format.OIS.XML.Metadata.0.2. {'','Extensible Markup Language'}
@attribute mimetype.status. {'CONFLICT'}
@attribute mimetype.Exiftool.7.74. {'','application/msword','application/postscript','application/vnd.ms-excel','application/vnd.ms-powerpoint','application/x-shockwave-flash','audio/mpeg','image/vnd.fpx','text/html','text/xml'}
@attribute mimetype.Jhove.1.5. {'','text/html','text/plain','text/xml'}
@attribute mimetype.file.utility.5.03. {'','application/msword','application/postscript','application/vnd.ms-excel','application/x-gzip','application/x-shockwave-flash','message/rfc822','text/plain','text/xml'}
@attribute mimetype.Droid.3.0. {'','application/msword','application/postscript','application/rtf text/rtf','application/vnd.ms-excel','application/vnd.ms-powerpoint','application/x-gzip','application/x-shockwave-flash','application/xhtml+xml','text/csv','text/html','text/plain','text/xml'}
@attribute mimetype.NLNZ.Metadata.Extractor.3.4GA. {'','application/msword','text/html'}
@attribute mimetype.ffident.0.2. {'','application/msword','application/postscript','application/vnd.ms-excel','application/x-gzip','text/html','text/rtf','text/xml'}
@attribute mimetype.OIS.XML.Metadata.0.2. {'','text/xml'}
@attribute puid.status. {'','CONFLICT'}
@attribute puid.Droid.3.0. {'','fmt/100','fmt/101','fmt/102','fmt/106','fmt/107','fmt/108','fmt/122','fmt/123','fmt/124','fmt/126','fmt/39','fmt/49','fmt/51','fmt/57','fmt/62','fmt/96','fmt/99','x-fmt/111','x-fmt/18','x-fmt/266'}
@attribute size.status. {'','SINGLE_RESULT'}
@attribute lastmodified.status. {'','SINGLE_RESULT'}
@attribute file_path.status. {'SINGLE_RESULT'}
@attribute file_name.status. {'SINGLE_RESULT'}
@attribute checksum_md5.status. {'SINGLE_RESULT'}
@attribute created.status. {'','CONFLICT','SINGLE_RESULT'}
@attribute created.NLNZ.Metadata.Extractor.3.4GA. {'','Fri Dec 07 00:02:18 CET 2007','Fri Nov 30 22:05:22 CET 2007','Fri Oct 31 00:08:21 CET 2003','Mon Oct 30 23:07:00 CET 2000','Sat Dec 01 00:03:17 CET 2001','Sat Dec 01 00:06:19 CET 2007','Sat Dec 04 00:01:20 CET 2004','Sat Oct 31 23:02:19 CET 1998','Sun Dec 03 00:07:14 CET 2006','Sun Dec 03 21:00:16 CET 1995','Sun Dec 03 22:03:22 CET 2000','Sun Dec 03 22:05:16 CET 2000','Sun Dec 05 00:04:14 CET 2004','Sun Dec 08 23:01:17 CET 2002','Sun Nov 02 00:06:17 CET 1997','Thu Dec 01 23:06:01 CET 2005','Tue Dec 04 00:04:16 CET 2001','Tue Dec 05 00:02:20 CET 1995','Tue Dec 06 21:01:13 CET 2005','Tue Dec 06 22:06:21 CET 2005','Tue Dec 07 22:09:06 CET 1993','Tue Dec 07 22:09:12 CET 1993','Tue Dec 09 00:07:23 CET 2003','Tue Nov 02 00:01:14 CET 1993','Tue Nov 02 00:03:00 CET 2004','Tue Nov 02 00:06:22 CET 2004','Wed Dec 01 23:06:18 CET 2004'}
@attribute lastmodified_fs.status. {'SINGLE_RESULT'}
@attribute creating_application_name.status. {'','SINGLE_RESULT'}
@attribute creating_application_name.Exiftool.7.74. {'','Microsoft Excel','Microsoft Office Word','Microsoft Word 10.0','Microsoft Word 10.1','Microsoft Word 11.0','Microsoft Word 11.2','Microsoft Word 11.3','Microsoft Word 6.0','Microsoft Word 8.0','Microsoft Word 9.0'}
@attribute creating_application_name.NLNZ.Metadata.Extractor.3.4GA. {'','null'}
@attribute wellformed.status. {'','SINGLE_RESULT'}
@attribute valid.status. {'','SINGLE_RESULT'}
@attribute message.status. {'','SINGLE_RESULT'}
@attribute created_year.status. {'','CONFLICT','SINGLE_RESULT'}
@attribute markupbasis.status. {'','SINGLE_RESULT'}
@attribute markupbasis.Jhove.1.5. {'','HTML','XML'}
@attribute markupBasisVersion.status. {'','SINGLE_RESULT'}
@attribute pagecount.status. {'','SINGLE_RESULT'}
@attribute is_rightsmanaged.status. {'','SINGLE_RESULT'}
@attribute is_protected.status. {'','SINGLE_RESULT'}
@attribute content_type.status. {'CONFLICT'}
@attribute content_type.C3PO.0.6. {'','Archive','Document'}
@attribute file_extension.status. {'SINGLE_RESULT'}
@attribute file_extension.C3PO.0.6. {'csv','doc','eps','gz','html','pps','ppt','ps','rtf','sql','swf','text','txt','unk','xls','xml'}
@attribute charset.status. {'','SINGLE_RESULT'}
@attribute charset.Exiftool.7.74. {'','iso-8859-1','utf-8','UTF-8'}
@attribute charset.Jhove.1.5. {'','iso-8859-1','ISO-8859-1','US-ASCII','utf-8','UTF-8','windows-1250','windows-1252','Windows-1252'}
@attribute charset.file.utility.5.03. {'','UNKNOWN-8BIT'}
@attribute charset.NLNZ.Metadata.Extractor.3.4GA. {'','iso-8859-1'}
@attribute linebreak.status. {'','SINGLE_RESULT'}
@attribute linebreak.Jhove.1.5. {'','CR/LF','LF'}
@attribute linebreak.file.utility.5.03. {'','CR/LF'}
@attribute title.status. {'','CONFLICT','SINGLE_RESULT'}
@attribute title.Exiftool.7.74. {'','1) Solar Neutrinos:  Tom Bowles (LNAL) and Bruce Vogelaar (Virginia Tech)','1st Draft 1600.72','CHAPTER I','D R A F T','DOC TYPE: 1','DRAFT','FOR IMMEDIATE RELEASE','FSA PRESS RELEASE','INTRODUCTION','ISO/IEC JTC1/SC18/WG8  N1655','ISO/IEC JTC1/SC18/WG8 NXXXX','MO6 Tech Note 8 -Suggested Order and Guidelines for Populatiion','North American Carbon Program','PROPOSAL','R&D Policy Models and Data Needs','SAMPLE BOARD RESOLUTION','State ESEA Title I Participation Information for 2002-03 (MSWord)','Type 2 diabetes is on the rise internationally as well as within the United States','United States Department of Agriculture','Workforce Development Model: South Carolina'}
@attribute title.NLNZ.Metadata.Extractor.3.4GA. {'','1) Solar Neutrinos:  Tom Bowles (LNAL) and Bruce Vogelaar (Virginia Tech)','null'}
@attribute author.status. {'','CONFLICT','SINGLE_RESULT'}
@attribute author.Exiftool.7.74. {'','ANNE BREAUX','Battelle','Bernard Sadoulet','Brent Shaw','cary kerst','CCPUser','Chris Bieker','dew','Electric Field Staff','FRIEDMAN_J','FSDefaultUser','G.Stover','Gregory Tassey','James David Mason','Jeff Hayden','mchandler2','Pat Scida','sam','steve.park','Susan Gilliland','usda/rus','Yasuyuki Akiba'}
@attribute author.NLNZ.Metadata.Extractor.3.4GA. {'','Yasuyuki Akiba'}
@attribute creating_application_version.status. {'','CONFLICT','SINGLE_RESULT'}
@attribute creating_application_version.Exiftool.7.74. {'','10 (0104)','10 (107b)','10 (1a4f)','11 (0000)','11 (0200)','11 (0205)','11 (0300)','11 (15e6)','11 (19a8)','11 (1f5c)','11 (1fc4)','11 (270f)','8 (1531)','9 (0eed)'}
@attribute wordcount.status. {'','SINGLE_RESULT'}
@attribute charactercount.status. {'','SINGLE_RESULT'}
@attribute language.status. {'','SINGLE_RESULT'}
@attribute language.NLNZ.Metadata.Extractor.3.4GA. {'','German','U.S. English'}
@attribute creating_os.status. {'','SINGLE_RESULT'}
@attribute creating_os.file.utility.5.03. {'','NTFS filesystem (NT)','Unix'}
@attribute scanner_softwarename.status. {'','SINGLE_RESULT'}
@attribute scanner_softwarename.Exiftool.7.74. {'','Microsoft PowerPoint','Microsoft PowerPoint 4.0'}
@data
17,'format','Hypertext Markup Language','CONFLICT','Hypertext Markup Language','HTML Transitional','','Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','CONFLICT','text/html','text/html','','text/html','text/html','text/html','','CONFLICT','fmt/100','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','HTML','SINGLE_RESULT','','','','CONFLICT','Document','SINGLE_RESULT','html','SINGLE_RESULT','','iso-8859-1','','','','','','','','','','','','','','','','','','','','',''
18,'format','Hypertext Markup Language','CONFLICT','Hypertext Markup Language','HTML Transitional','','Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','CONFLICT','text/html','text/html','','text/html','text/html','text/html','','CONFLICT','fmt/100','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','HTML','SINGLE_RESULT','','','','CONFLICT','Document','SINGLE_RESULT','html','SINGLE_RESULT','','iso-8859-1','','','','','','','','','','','','','','','','','','','','',''
19,'format','Hypertext Markup Language','CONFLICT','Hypertext Markup Language','HTML Transitional','','Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','CONFLICT','text/html','text/html','','text/html','text/html','text/html','','CONFLICT','fmt/100','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','HTML','SINGLE_RESULT','','','','CONFLICT','Document','SINGLE_RESULT','html','SINGLE_RESULT','','UTF-8','','','','','','','','','','','','','','','','','','','','',''
20,'format','Hypertext Markup Language','CONFLICT','Hypertext Markup Language','HTML Transitional','','Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','CONFLICT','text/html','text/html','','text/html','text/html','text/html','','CONFLICT','fmt/100','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','HTML','SINGLE_RESULT','','','','CONFLICT','Document','SINGLE_RESULT','html','SINGLE_RESULT','','UTF-8','','','','','','','','','','','','','','','','','','','','',''
21,'format','Hypertext Markup Language','CONFLICT','Hypertext Markup Language','HTML Transitional','','Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','CONFLICT','text/html','text/html','','text/html','text/html','text/html','','CONFLICT','fmt/100','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','HTML','SINGLE_RESULT','','','','CONFLICT','Document','SINGLE_RESULT','html','SINGLE_RESULT','','ISO-8859-1','','','','','','','','','','','','','','','','','','','','',''
22,'format','Plain text','CONFLICT','','Plain text','Plain text','Comma Separated Values','','','','CONFLICT','','text/plain','text/plain','text/csv','','','','CONFLICT','x-fmt/18','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','','','','','','','','','CONFLICT','','SINGLE_RESULT','csv','','','US-ASCII','','','SINGLE_RESULT','LF','','','','','','','','','','','','','','','','',''
23,'format','Plain text','CONFLICT','','Plain text','Plain text','Comma Separated Values','','','','CONFLICT','','text/plain','text/plain','text/csv','','','','CONFLICT','x-fmt/18','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','','','','','','','','','CONFLICT','','SINGLE_RESULT','csv','','','US-ASCII','','','SINGLE_RESULT','LF','','','','','','','','','','','','','','','','',''
24,'format','Plain text','CONFLICT','','Plain text','Plain text','Comma Separated Values','','','','CONFLICT','','text/plain','text/plain','text/csv','','','','CONFLICT','x-fmt/18','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','','','','','','','','','CONFLICT','','SINGLE_RESULT','csv','','','US-ASCII','','','','CR/LF','','','','','','','','','','','','','','','','',''
25,'format','Plain text','CONFLICT','','Plain text','Plain text','Comma Separated Values','','','','CONFLICT','','text/plain','text/plain','text/csv','','','','CONFLICT','x-fmt/18','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','','','','','','','','','CONFLICT','','SINGLE_RESULT','csv','','','US-ASCII','','','','CR/LF','','','','','','','','','','','','','','','','',''
26,'format','Plain text','CONFLICT','','Plain text','Plain text','Comma Separated Values','','','','CONFLICT','','text/plain','text/plain','text/csv','','','','CONFLICT','x-fmt/18','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','','','','','','','','','CONFLICT','','SINGLE_RESULT','csv','','','US-ASCII','','','','CR/LF','','','','','','','','','','','','','','','','',''
27,'format','Plain text','CONFLICT','','Plain text','Plain text','Comma Separated Values','','','','CONFLICT','','text/plain','text/plain','text/csv','','','','CONFLICT','x-fmt/18','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','','','','','','','','','CONFLICT','','SINGLE_RESULT','csv','','','US-ASCII','','','','CR/LF','','','','','','','','','','','','','','','','',''
28,'format','Plain text','CONFLICT','','Plain text','Plain text','Comma Separated Values','','','','CONFLICT','','text/plain','text/plain','text/csv','','','','CONFLICT','x-fmt/18','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','','','','','','','','','CONFLICT','','SINGLE_RESULT','csv','','','US-ASCII','','','','CR/LF','','','','','','','','','','','','','','','','',''
29,'format','Plain text','CONFLICT','','Plain text','Plain text','Comma Separated Values','','','','CONFLICT','','text/plain','text/plain','text/csv','','','','CONFLICT','x-fmt/18','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','','','','','','','','','CONFLICT','','SINGLE_RESULT','csv','','','US-ASCII','','','','CR/LF','','','','','','','','','','','','','','','','',''
30,'format','Plain text','CONFLICT','','Plain text','Plain text','Comma Separated Values','','','','CONFLICT','','text/plain','text/plain','text/csv','','','','CONFLICT','x-fmt/18','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','','','','','','','','','CONFLICT','','SINGLE_RESULT','csv','','','US-ASCII','','','SINGLE_RESULT','LF','','','','','','','','','','','','','','','','',''
31,'format','Plain text','CONFLICT','','Plain text','Plain text','Comma Separated Values','','','','CONFLICT','','text/plain','text/plain','text/csv','','','','CONFLICT','x-fmt/18','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','','','','','','','','','CONFLICT','','SINGLE_RESULT','csv','','','US-ASCII','','','','CR/LF','','','','','','','','','','','','','','','','',''
32,'format','Plain text','CONFLICT','','Plain text','Plain text','Comma Separated Values','','','','CONFLICT','','text/plain','text/plain','text/csv','','','','CONFLICT','x-fmt/18','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','','','','','','','','','CONFLICT','','SINGLE_RESULT','csv','','','US-ASCII','','','','CR/LF','','','','','','','','','','','','','','','','',''
33,'format','Extensible Hypertext Markup Language','CONFLICT','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','','CONFLICT','text/html','text/html','','application/xhtml+xml','text/html','','','CONFLICT','fmt/102','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','HTML','SINGLE_RESULT','','','','CONFLICT','Document','SINGLE_RESULT','html','','UTF-8','','','','','','','','','','','','','','','','','','','','','',''
34,'format','Extensible Hypertext Markup Language','CONFLICT','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','','CONFLICT','text/html','text/html','','application/xhtml+xml','text/html','','','CONFLICT','fmt/102','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','HTML','SINGLE_RESULT','','','','CONFLICT','Document','SINGLE_RESULT','html','','utf-8','','','','','','','','','','','','','','','','','','','','','',''
35,'format','Extensible Hypertext Markup Language','CONFLICT','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','','CONFLICT','text/html','text/html','','application/xhtml+xml','text/html','','','CONFLICT','fmt/102','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','HTML','SINGLE_RESULT','','','','CONFLICT','Document','SINGLE_RESULT','html','','utf-8','','','','','','','','','','','','','','','','','','','','','',''
36,'format','Extensible Hypertext Markup Language','CONFLICT','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','','CONFLICT','text/html','text/html','','application/xhtml+xml','text/html','','','CONFLICT','fmt/102','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','HTML','SINGLE_RESULT','','','','CONFLICT','Document','SINGLE_RESULT','html','','iso-8859-1','','','','','','','','','','','','','','','','','','','','','',''
37,'format','Extensible Hypertext Markup Language','CONFLICT','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','','CONFLICT','text/html','text/html','','application/xhtml+xml','text/html','','','CONFLICT','fmt/102','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','HTML','SINGLE_RESULT','','','','CONFLICT','Document','SINGLE_RESULT','html','','','','','','','','','','','','','','','','','','','','','','','',''
38,'format','Extensible Hypertext Markup Language','CONFLICT','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','','CONFLICT','text/html','text/html','','application/xhtml+xml','text/html','','','CONFLICT','fmt/102','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','HTML','SINGLE_RESULT','','','','CONFLICT','Document','SINGLE_RESULT','html','','UTF-8','','','','','','','','','','','','','','','','','','','','','',''
39,'format','Extensible Hypertext Markup Language','CONFLICT','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','','CONFLICT','text/html','text/html','','application/xhtml+xml','text/html','','','CONFLICT','fmt/102','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','HTML','SINGLE_RESULT','','','','CONFLICT','Document','SINGLE_RESULT','html','','UTF-8','','','','','','','','','','','','','','','','','','','','','',''
40,'format','Extensible Hypertext Markup Language','CONFLICT','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','','CONFLICT','text/html','text/html','','application/xhtml+xml','text/html','','','CONFLICT','fmt/102','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','HTML','SINGLE_RESULT','','','','CONFLICT','Document','SINGLE_RESULT','html','','UTF-8','','','','','','','','','','','','','','','','','','','','','',''
41,'format','Extensible Hypertext Markup Language','CONFLICT','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','','CONFLICT','text/html','text/html','','application/xhtml+xml','text/html','','','CONFLICT','fmt/102','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','HTML','SINGLE_RESULT','','','','CONFLICT','Document','SINGLE_RESULT','html','','UTF-8','','','','','','','','','','','','','','','','','','','','','',''
42,'format','Extensible Hypertext Markup Language','CONFLICT','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','','CONFLICT','text/html','text/html','','application/xhtml+xml','text/html','','','CONFLICT','fmt/102','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','HTML','SINGLE_RESULT','','','','CONFLICT','Document','SINGLE_RESULT','html','','','','','','','','','','','','','','','','','','','','','','','',''
43,'format','Extensible Hypertext Markup Language','CONFLICT','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','','CONFLICT','text/html','text/html','','application/xhtml+xml','text/html','','','CONFLICT','fmt/102','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','SINGLE_RESULT','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','','HTML','SINGLE_RESULT','','','','CONFLICT','Document','SINGLE_RESULT','html','','iso-8859-1','','','','','','','','','','','','','','','','','','','','','',''
44,'format','Microsoft Excel Format','CONFLICT','XLS','','','','','Microsoft Excel Format','','CONFLICT','application/vnd.ms-excel','','','','','application/vnd.ms-excel','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','SINGLE_RESULT','','','','','','','SINGLE_RESULT','','','','','','','CONFLICT','Document','SINGLE_RESULT','xls','','','','','','','','','','','','','','','','','','','','','','','',''
45,'format','Microsoft Excel Format','CONFLICT','XLS','','','','','Microsoft Excel Format','','CONFLICT','application/vnd.ms-excel','','','','','application/vnd.ms-excel','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','SINGLE_RESULT','','','','','','','SINGLE_RESULT','','','','','','','CONFLICT','Document','SINGLE_RESULT','xls','','','','','','','','','','','','','','','','','','','','','','','',''
46,'format','Microsoft Excel Format','CONFLICT','XLS','','','','','Microsoft Excel Format','','CONFLICT','application/vnd.ms-excel','','','','','application/vnd.ms-excel','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','SINGLE_RESULT','','','','','','','SINGLE_RESULT','','','','','','','CONFLICT','Document','SINGLE_RESULT','xls','','','','','','','','','','','','','','','','','','','','','','','',''
47,'format','Microsoft Excel Format','CONFLICT','XLS','','','','','Microsoft Excel Format','','CONFLICT','application/vnd.ms-excel','','','','','application/vnd.ms-excel','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','SINGLE_RESULT','','','','','','','SINGLE_RESULT','','','','','','','CONFLICT','Document','SINGLE_RESULT','xls','','','','','','','','','','','','','','','','','','','','','','','',''
48,'format','Microsoft Excel Format','CONFLICT','XLS','','','','','Microsoft Excel Format','','CONFLICT','application/vnd.ms-excel','','','','','application/vnd.ms-excel','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','SINGLE_RESULT','','','','','','','SINGLE_RESULT','','','','','','','CONFLICT','Document','SINGLE_RESULT','xls','','','','','','','','','','','','','','','','','','','','','','','',''
49,'format','Microsoft Excel Format','CONFLICT','XLS','','','','','Microsoft Excel Format','','CONFLICT','application/vnd.ms-excel','','','','','application/vnd.ms-excel','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','SINGLE_RESULT','','','','','','','SINGLE_RESULT','','','','','','','CONFLICT','Document','SINGLE_RESULT','xls','','','','','','','','','','','','','','','','','','','','','','','',''
50,'format','Microsoft Excel Format','CONFLICT','XLS','','','','','Microsoft Excel Format','','CONFLICT','application/vnd.ms-excel','','','','','application/vnd.ms-excel','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','SINGLE_RESULT','','','','','','','SINGLE_RESULT','','','','','','','CONFLICT','Document','SINGLE_RESULT','xls','','','','','','','','','','','','','','','','','','','','','','','',''
51,'format','Microsoft Excel Format','CONFLICT','XLS','','','','','Microsoft Excel Format','','CONFLICT','application/vnd.ms-excel','','','','','application/vnd.ms-excel','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','SINGLE_RESULT','','','','','','','SINGLE_RESULT','','','','','','','CONFLICT','Document','SINGLE_RESULT','xls','','','','','','','','','','','','','','','','','','','','','','','',''
52,'format','Microsoft Excel Format','CONFLICT','XLS','','','','','Microsoft Excel Format','','CONFLICT','application/vnd.ms-excel','','','','','application/vnd.ms-excel','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','SINGLE_RESULT','','','','','','','SINGLE_RESULT','','','','','','','CONFLICT','Document','SINGLE_RESULT','xls','','','','','','','','','','','','','','','','','','','','','','','',''
53,'format','Microsoft Excel Format','CONFLICT','XLS','','','','','Microsoft Excel Format','','CONFLICT','application/vnd.ms-excel','','','','','application/vnd.ms-excel','','','','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','SINGLE_RESULT','','SINGLE_RESULT','','','','','','','SINGLE_RESULT','','','','','','','CONFLICT','Document','SINGLE_RESULT','xls','','','','','','','','','','','','','','','','','','','','','','','',''
