@relation 'mydata-weka.filters.unsupervised.attribute.Remove-R1,4,29-42,72-75-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute resolveTo {'Comma Separated Values','Encapsulated PostScript File Format','Extensible Hypertext Markup Language','Extensible Markup Language','GZIP Format','Hypertext Markup Language','Macromedia Flash','Microsoft Excel Format','Microsoft Powerpoint Presentation','Microsoft Word','news or mail text','Plain text',PostScript,'Rich Text Format'}
@attribute format.Exiftool.7.74. {'',EPS,'EPS EXIF',FPX,'Hypertext Markup Language','Microsoft Word','MPEG 1/2 Audio Layer 3',PPT,SWF,XLS,XMP}
@attribute format.Jhove.1.5. {'','Extensible Markup Language','HTML Strict','HTML Transitional','Hypertext Markup Language','Plain text',XHTML}
@attribute format.file.utility.5.03. {'','Extensible Markup Language','GZIP Format','Macromedia Flash data (compressed) version 6','Macromedia Flash data (compressed) version 7','Macromedia Flash data (compressed) version 8','Macromedia Flash data version 3','Macromedia Flash data version 4','Macromedia Flash data version 5','Microsoft Excel 5.0 Worksheet','Microsoft Excel Worksheet','Microsoft Word','news or mail text','Plain text',Postscript,'PostScript document text'}
@attribute format.Droid.3.0. {'','Comma Separated Values','Encapsulated PostScript File Format','Extensible Hypertext Markup Language','Extensible Markup Language','GZIP Format','Hypertext Markup Language','Macromedia Flash','Microsoft Excel 2000-2003 Workbook (xls)','Microsoft Excel 4.0 Worksheet (xls)','Microsoft Powerpoint Presentation','Microsoft Word','Plain text','Rich Text Format'}
@attribute format.NLNZ.Metadata.Extractor.3.4GA. {'','Hypertext Markup Language','Microsoft Word'}
@attribute format.ffident.0.2. {'','Extensible Markup Language','GZIP Format','Hypertext Markup Language','Microsoft Excel Format','Microsoft Word',Postscript,PostScript,'Rich Text Format'}
@attribute format.OIS.XML.Metadata.0.2. {'','Extensible Markup Language'}
@attribute mimetype.Exiftool.7.74. {'',application/msword,application/postscript,application/vnd.ms-excel,application/vnd.ms-powerpoint,application/x-shockwave-flash,audio/mpeg,image/vnd.fpx,text/html,text/xml}
@attribute mimetype.Jhove.1.5. {'',text/html,text/plain,text/xml}
@attribute mimetype.file.utility.5.03. {'',application/msword,application/postscript,application/vnd.ms-excel,application/x-gzip,application/x-shockwave-flash,message/rfc822,text/plain,text/xml}
@attribute mimetype.Droid.3.0. {'',application/msword,application/postscript,'application/rtf text/rtf',application/vnd.ms-excel,application/vnd.ms-powerpoint,application/x-gzip,application/x-shockwave-flash,application/xhtml+xml,text/csv,text/html,text/plain,text/xml}
@attribute mimetype.NLNZ.Metadata.Extractor.3.4GA. {'',application/msword,text/html}
@attribute mimetype.ffident.0.2. {'',application/msword,application/postscript,application/vnd.ms-excel,application/x-gzip,text/html,text/rtf,text/xml}
@attribute mimetype.OIS.XML.Metadata.0.2. {'',text/xml}
@attribute puid.status. {'',CONFLICT}
@attribute puid.Droid.3.0. {'',fmt/100,fmt/101,fmt/102,fmt/106,fmt/107,fmt/108,fmt/122,fmt/123,fmt/124,fmt/126,fmt/39,fmt/49,fmt/51,fmt/57,fmt/62,fmt/96,fmt/99,x-fmt/111,x-fmt/18,x-fmt/266}
@attribute format_version.status. {'',CONFLICT}
@attribute format_version.Exiftool.7.74. {'',1,'1.0 0',1.2,'1.2 0'}
@attribute format_version.Jhove.1.5. {'',1,'HTML 4.0','HTML 4.01'}
@attribute format_version.file.utility.5.03. {'','2.0 type EPS','3.0 type EPS','3.0 type EPS Level 1'}
@attribute format_version.Droid.3.0. {'',1,1.2,1.4,1.6,2,3,4,4.01,4S,5,6.0/95,8X,97-2002}
@attribute format_version.NLNZ.Metadata.Extractor.3.4GA. {'',1,4,Basic}
@attribute creating_application_name.status. {'',SINGLE_RESULT}
@attribute creating_application_name.Exiftool.7.74. {'','Microsoft Excel','Microsoft Office Word','Microsoft Word 10.0','Microsoft Word 10.1','Microsoft Word 11.0','Microsoft Word 11.2','Microsoft Word 11.3','Microsoft Word 6.0','Microsoft Word 8.0','Microsoft Word 9.0'}
@attribute creating_application_name.NLNZ.Metadata.Extractor.3.4GA. {'',null}
@attribute wellformed.status. {'',SINGLE_RESULT}
@attribute valid.status. {'',SINGLE_RESULT}
@attribute message.status. {'',SINGLE_RESULT}
@attribute message.Jhove.1.5. {'','An element with the identifier \"Areaall\" must appear in the document. Line = 172 Column = 28','Attribute \"accept-charset\" must be declared for element type \"input\". Line = 41 Column = 116','Attribute \"disabled\" must be declared for element type \"span\". Line = 531 Column = 426','Attribute \"height\" must be declared for element type \"table\". Line = 77 Column = 109','Attribute \"sid\" must be declared for element type \"input\". Line = 362 Column = 145','Attribute \"sid\" must be declared for element type \"input\". Line = 363 Column = 145','Attribute \"sid\" must be declared for element type \"input\". Line = 364 Column = 145','Attribute \"sid\" must be declared for element type \"input\". Line = 375 Column = 145','Attribute name \"section\" associated with an element type \"div\" must be followed by the \' = \' character. Line = 70 Column = 32','Close tag without matching open tag Name = p Line = 155 Column = 3','Close tag without matching open tag Name = p Line = 159 Column = 10','Close tag without matching open tag Name = table Line = 301 Column = 13','Close tag without matching open tag Name = td Line = 350 Column = 8','Close tag without matching open tag Name = ul Line = 81 Column = 3','Close tag without matching open tag Name = ul Line = 894 Column = 3','Construction with \"/>\" is incorrect except in XHTML Name = br Line = 134 Column = 52','Construction with \"/>\" is incorrect except in XHTML Name = img Line = 145 Column = 42','Document must have implicit or explicit HEAD element','Improper value for attribute Element = td Attribute = align Value = middle Line = 189 Column = 16','Invalid character encoding','java.net.ConnectException: Connection timed out','java.net.SocketException: Unexpected end of file from server','Missing required attribute Tag = img Attribute = alt Line = 104 Column = 6','Missing required attribute Tag = img Attribute = alt Line = 122 Column = 34','Missing required attribute Tag = img Attribute = alt Line = 228 Column = 26','Missing required attribute Tag = img Attribute = alt Line = 732 Column = 42','Missing required attribute Tag = img Attribute = alt Line = 83 Column = 6','Tag illegal in context Name = tbody Container = colgroup Line = 644 Column = 2','The content of element type \"p\" must match \"(a|br|span|bdo|map|object|img|tt|i|b|big|small|em|strong|dfn|code|q|samp|kbd|var|cite|abbr|acronym|sub|sup|input|select|textarea|label|button|ins|del|script)\". Line = 1245 Column = 29','The content of element type \"p\" must match \"(a|br|span|bdo|map|object|img|tt|i|b|big|small|em|strong|dfn|code|q|samp|kbd|var|cite|abbr|acronym|sub|sup|input|select|textarea|label|button|ins|del|script)\". Line = 321 Column = 29','The content of element type \"p\" must match \"(a|br|span|bdo|map|object|img|tt|i|b|big|small|em|strong|dfn|code|q|samp|kbd|var|cite|abbr|acronym|sub|sup|input|select|textarea|label|button|ins|del|script)\". Line = 549 Column = 200','The content of element type \"p\" must match \"(a|br|span|bdo|map|object|img|tt|i|b|big|small|em|strong|dfn|code|q|samp|kbd|var|cite|abbr|acronym|sub|sup|input|select|textarea|label|button|ins|del|script)\". Line = 815 Column = 29','The content of element type \"table\" must match \"(caption?(col*|colgroup*)thead?tfoot?(tbody+|tr+))\". Line = 4806 Column = 9','The content of element type \"table\" must match \"(caption?(col*|colgroup*)thead?tfoot?(tbody+|tr+))\". Line = 6343 Column = 9','The content of element type \"table\" must match \"(caption?(col*|colgroup*)thead?tfoot?(tbody+|tr+))\". Line = 9503 Column = 9','The content of element type \"tr\" is incomplete it must match \"(th|td)+\". Line = 228 Column = 25','The content of element type \"ul\" must match \"(li)+\". Line = 1283 Column = 6','The element type \"head\" must be terminated by the matching end-tag \"</head>\". Line = 15 Column = 3','The element type \"html\" must be terminated by the matching end-tag \"</html>\". Line = 21 Column = 3','The element type \"img\" must be terminated by the matching end-tag \"</img>\". Line = 102 Column = 25','The element type \"link\" must be terminated by the matching end-tag \"</link>\". Line = 9 Column = 3','The entity name must immediately follow the \'&\' in the entity reference. Line = 113 Column = 58','The entity name must immediately follow the \'&\' in the entity reference. Line = 66 Column = 58','The reference to entity \"cmd\" must end with the \';\' delimiter. Line = 6 Column = 606','The reference to entity \"Itemid\" must end with the \';\' delimiter. Line = 64 Column = 89','TokenMgrError: Lexical error at line 298 column 24.  Encountered: \"-\" (45) after : \"\"','TokenMgrError: Lexical error at line 53 column 159.  Encountered: \"3\" (51) after : \"\"','Undefined attribute for element Name = a Attribute = target Line = 219 Column = 178','Undefined attribute for element Name = a Attribute = target Line = 256 Column = 38','Undefined attribute for element Name = a Attribute = valign Line = 398 Column = 44','Undefined attribute for element Name = body Attribute = bgcolor Line = 10 Column = 7','Undefined attribute for element Name = body Attribute = bgcolor Line = 11 Column = 7','Undefined attribute for element Name = body Attribute = text Line = 9 Column = 25','Undefined attribute for element Name = h6 Attribute = align Line = 294 Column = 5','Undefined attribute for element Name = html Attribute = xmlns Line = 2 Column = 7','Undefined attribute for element Name = img Attribute = border Line = 214 Column = 102','Undefined attribute for element Name = input Attribute = onclick Line = 18 Column = 56','Undefined attribute for element Name = label Attribute = for Line = 151 Column = 18','Undefined attribute for element Name = td Attribute = background Line = 1 Column = 9023','Unknown tag Name = embed Line = 67 Column = 8','Unknown tag Name = font Line = 1 Column = 9114','Unknown tag Name = font Line = 101 Column = 2665','Unknown tag Name = font Line = 105 Column = 2665','Unknown tag Name = font Line = 151 Column = 2045','Unknown tag Name = nobr Line = 20 Column = 8','Unknown tag Name = noscript Line = 273 Column = 2','Unknown tag Name = noscript Line = 330 Column = 2','Unknown tag Name = noscript Line = 399 Column = 2','Unknown tag Name = noscript Line = 436 Column = 2','Unknown tag Name = noscript Line = 483 Column = 2','Unknown tag Name = span Line = 605 Column = 4','Unknown tag Name = tbody Line = 184 Column = 37'}
@attribute created_year.status. {'',CONFLICT,SINGLE_RESULT}
@attribute created_year.C3PO.0.6. {'',02/0,1/29/2017,1/4/,10/1/2017,10/2/2017,11/2/2017,12/1/2017,14-D,16-O,1994,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,22-J,4/12/2017,4/21/2017,4/3/,5/1/2017,5/13/2017,5/16/2017,5/21/2017,5/26/2017,5/5/,6/22/2017,7-Ja,7-Ma,7:21,8-Ja,8-Oc,9/3/,9/30/2017,9/4/,94/0,98/0,Mard,Mon,Sat,Sun,Thu,Wed}
@attribute markupbasis.status. {'',SINGLE_RESULT}
@attribute markupbasis.Jhove.1.5. {'',HTML,XML}
@attribute markupBasisVersion.status. {'',SINGLE_RESULT}
@attribute markupBasisVersion.Jhove.1.5. {'',1,'HTML 4.0','HTML 4.01'}
@attribute pagecount.status. {'',SINGLE_RESULT}
@attribute is_rightsmanaged.status. {'',SINGLE_RESULT}
@attribute is_protected.status. {'',SINGLE_RESULT}
@attribute content_type.C3PO.0.6. {'',Archive,Document}
@attribute file_extension.C3PO.0.6. {csv,doc,eps,gz,html,pps,ppt,ps,rtf,sql,swf,text,txt,unk,xls,xml}
@attribute charset.status. {'',SINGLE_RESULT}
@attribute charset.Exiftool.7.74. {'',iso-8859-1,utf-8,UTF-8}
@attribute charset.Jhove.1.5. {'',iso-8859-1,ISO-8859-1,US-ASCII,utf-8,UTF-8,windows-1250,windows-1252,Windows-1252}
@attribute charset.file.utility.5.03. {'',UNKNOWN-8BIT}
@attribute charset.NLNZ.Metadata.Extractor.3.4GA. {'',iso-8859-1}
@attribute linebreak.status. {'',SINGLE_RESULT}
@attribute linebreak.Jhove.1.5. {'',CR/LF,LF}
@attribute linebreak.file.utility.5.03. {'',CR/LF}
@attribute title.status. {'',CONFLICT,SINGLE_RESULT}
@attribute author.NLNZ.Metadata.Extractor.3.4GA. {'','Yasuyuki Akiba'}
@attribute creating_application_version.status. {'',CONFLICT,SINGLE_RESULT}
@attribute creating_application_version.Exiftool.7.74. {'','10 (0104)','10 (107b)','10 (1a4f)','11 (0000)','11 (0200)','11 (0205)','11 (0300)','11 (15e6)','11 (19a8)','11 (1f5c)','11 (1fc4)','11 (270f)','8 (1531)','9 (0eed)'}
@attribute wordcount.status. {'',SINGLE_RESULT}
@attribute charactercount.status. {'',SINGLE_RESULT}
@attribute language.status. {'',SINGLE_RESULT}
@attribute language.NLNZ.Metadata.Extractor.3.4GA. {'',German,'U.S. English'}
@attribute creating_os.status. {'',SINGLE_RESULT}
@attribute creating_os.file.utility.5.03. {'','NTFS filesystem (NT)',Unix}
@attribute scanner_softwarename.status. {'',SINGLE_RESULT}
@attribute scanner_softwarename.Exiftool.7.74. {'','Microsoft PowerPoint','Microsoft PowerPoint 4.0'}

@data
'Extensible Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','',text/html,text/html,'',application/xhtml+xml,text/html,'','',CONFLICT,fmt/102,CONFLICT,'','','',1,1,'','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Unknown tag Name = noscript Line = 330 Column = 2','','','',HTML,SINGLE_RESULT,'','','','',Document,html,'',UTF-8,'','','','','','','','','','','','','','','','','',''
'Extensible Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','',text/html,text/html,'',application/xhtml+xml,text/html,'','',CONFLICT,fmt/102,CONFLICT,'','','',1,1,'','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Unknown tag Name = tbody Line = 184 Column = 37','','','',HTML,SINGLE_RESULT,'','','','',Document,html,'',utf-8,'','','','','','','','','','','','','','','','','',''
'Extensible Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','',text/html,text/html,'',application/xhtml+xml,text/html,'','',CONFLICT,fmt/102,CONFLICT,'','','',1,1,'','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Construction with \"/>\" is incorrect except in XHTML Name = img Line = 145 Column = 42','','','',HTML,SINGLE_RESULT,'','','','',Document,html,'',utf-8,'','','','','','','','','','','','','','','','','',''
'Extensible Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','',text/html,text/html,'',application/xhtml+xml,text/html,'','',CONFLICT,fmt/102,CONFLICT,'','','',1,1,'','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'TokenMgrError: Lexical error at line 53 column 159.  Encountered: \"3\" (51) after : \"\"','','','',HTML,SINGLE_RESULT,'','','','',Document,html,'',iso-8859-1,'','','','','','','','','','','','','','','','','',''
'Extensible Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','',text/html,text/html,'',application/xhtml+xml,text/html,'','',CONFLICT,fmt/102,CONFLICT,'','','',1,1,'','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Close tag without matching open tag Name = table Line = 301 Column = 13','','','',HTML,SINGLE_RESULT,'','','','',Document,html,'','','','','','','','','','','','','','','','','','','',''
'Extensible Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','',text/html,text/html,'',application/xhtml+xml,text/html,'','',CONFLICT,fmt/102,CONFLICT,'','','',1,1,'','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Unknown tag Name = noscript Line = 436 Column = 2','','','',HTML,SINGLE_RESULT,'','','','',Document,html,'',UTF-8,'','','','','','','','','','','','','','','','','',''
'Extensible Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','',text/html,text/html,'',application/xhtml+xml,text/html,'','',CONFLICT,fmt/102,CONFLICT,'','','',1,1,'','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Unknown tag Name = noscript Line = 483 Column = 2','','','',HTML,SINGLE_RESULT,'','','','',Document,html,'',UTF-8,'','','','','','','','','','','','','','','','','',''
'Extensible Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','',text/html,text/html,'',application/xhtml+xml,text/html,'','',CONFLICT,fmt/102,CONFLICT,'','','',1,1,'','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Unknown tag Name = noscript Line = 273 Column = 2','','','',HTML,SINGLE_RESULT,'','','','',Document,html,'',UTF-8,'','','','','','','','','','','','','','','','','',''
'Extensible Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','',text/html,text/html,'',application/xhtml+xml,text/html,'','',CONFLICT,fmt/102,CONFLICT,'','','',1,1,'','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Unknown tag Name = noscript Line = 399 Column = 2','','','',HTML,SINGLE_RESULT,'','','','',Document,html,'',UTF-8,'','','','','','','','','','','','','','','','','',''
'Extensible Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','',text/html,text/html,'',application/xhtml+xml,text/html,'','',CONFLICT,fmt/102,CONFLICT,'','','',1,1,'','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Construction with \"/>\" is incorrect except in XHTML Name = br Line = 134 Column = 52','','','',HTML,SINGLE_RESULT,'','','','',Document,html,'','','','','','','','','','','','','','','','','','','',''
'Extensible Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','',text/html,text/html,'',application/xhtml+xml,text/html,'','',CONFLICT,fmt/102,CONFLICT,'','','',1,1,'','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Unknown tag Name = span Line = 605 Column = 4','','','',HTML,SINGLE_RESULT,'','','','',Document,html,'',iso-8859-1,'','','','','','','','','','','','','','','','','',''
'Microsoft Excel Format',XLS,'','','','','Microsoft Excel Format','',application/vnd.ms-excel,'','','','',application/vnd.ms-excel,'','','','','','','','','','','','','','','','',SINGLE_RESULT,2002,'','','','','','','',Document,xls,'','','','','','','','','','','','','','','','','','','',''
'Microsoft Excel Format',XLS,'','','','','Microsoft Excel Format','',application/vnd.ms-excel,'','','','',application/vnd.ms-excel,'','','','','','','','','','','','','','','','',SINGLE_RESULT,2003,'','','','','','','',Document,xls,'','','','','','','','','','','','','','','','','','','',''
'Microsoft Excel Format',XLS,'','','','','Microsoft Excel Format','',application/vnd.ms-excel,'','','','',application/vnd.ms-excel,'','','','','','','','','','','','','','','','',SINGLE_RESULT,2007,'','','','','','','',Document,xls,'','','','','','','','','','','','','','','','','','','',''
'Microsoft Excel Format',XLS,'','','','','Microsoft Excel Format','',application/vnd.ms-excel,'','','','',application/vnd.ms-excel,'','','','','','','','','','','','','','','','',SINGLE_RESULT,2005,'','','','','','','',Document,xls,'','','','','','','','','','','','','','','','','','','',''
'Microsoft Excel Format',XLS,'','','','','Microsoft Excel Format','',application/vnd.ms-excel,'','','','',application/vnd.ms-excel,'','','','','','','','','','','','','','','','',SINGLE_RESULT,2007,'','','','','','','',Document,xls,'','','','','','','','','','','','','','','','','','','',''
'Microsoft Excel Format',XLS,'','','','','Microsoft Excel Format','',application/vnd.ms-excel,'','','','',application/vnd.ms-excel,'','','','','','','','','','','','','','','','',SINGLE_RESULT,2005,'','','','','','','',Document,xls,'','','','','','','','','','','','','','','','','','','',''
'Microsoft Excel Format',XLS,'','','','','Microsoft Excel Format','',application/vnd.ms-excel,'','','','',application/vnd.ms-excel,'','','','','','','','','','','','','','','','',SINGLE_RESULT,2008,'','','','','','','',Document,xls,'','','','','','','','','','','','','','','','','','','',''
'Microsoft Excel Format',XLS,'','','','','Microsoft Excel Format','',application/vnd.ms-excel,'','','','',application/vnd.ms-excel,'','','','','','','','','','','','','','','','',SINGLE_RESULT,2002,'','','','','','','',Document,xls,'','','','','','','','','','','','','','','','','','','',''
'Microsoft Excel Format',XLS,'','','','','Microsoft Excel Format','',application/vnd.ms-excel,'','','','',application/vnd.ms-excel,'','','','','','','','','','','','','','','','',SINGLE_RESULT,2008,'','','','','','','',Document,xls,'','','','','','','','','','','','','','','','','','','',''
'Microsoft Excel Format',XLS,'','','','','Microsoft Excel Format','',application/vnd.ms-excel,'','','','',application/vnd.ms-excel,'','','','','','','','','','','','','','','','',SINGLE_RESULT,2002,'','','','','','','',Document,xls,'','','','','','','','','','','','','','','','','','','',''
'Microsoft Excel Format',XLS,'','','','','Microsoft Excel Format','',application/vnd.ms-excel,'','','','',application/vnd.ms-excel,'','','','','','','','','','','','','','','','',SINGLE_RESULT,2002,'','','','','','','',Document,xls,'','','','','','','','','','','','','','','','','','','',''
'Extensible Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','',text/html,text/html,'',application/xhtml+xml,text/html,'','',CONFLICT,fmt/102,CONFLICT,'','','',1,1,'','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Unknown tag Name = noscript Line = 330 Column = 2','','','',HTML,SINGLE_RESULT,'','','','',Document,html,'',UTF-8,'','','','','','','','','','','','','','','','','',''
'Extensible Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','',text/html,text/html,'',application/xhtml+xml,text/html,'','',CONFLICT,fmt/102,CONFLICT,'','','',1,1,'','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Unknown tag Name = tbody Line = 184 Column = 37','','','',HTML,SINGLE_RESULT,'','','','',Document,html,'',utf-8,'','','','','','','','','','','','','','','','','',''
'Extensible Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','',text/html,text/html,'',application/xhtml+xml,text/html,'','',CONFLICT,fmt/102,CONFLICT,'','','',1,1,'','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Undefined attribute for element Name = input Attribute = onclick Line = 18 Column = 56','','','',HTML,SINGLE_RESULT,'','','','',Document,html,'','','','','','','','','','','','','','','','','','','',''
'Extensible Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','',text/html,text/html,'',application/xhtml+xml,text/html,'','',CONFLICT,fmt/102,CONFLICT,'','','',1,1,'','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Undefined attribute for element Name = html Attribute = xmlns Line = 2 Column = 7','','','',HTML,SINGLE_RESULT,'','','','',Document,html,'','','','','','','','','','','','','','','','','','','',''
'Extensible Hypertext Markup Language','','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','','',text/html,'',application/xhtml+xml,text/html,'','',CONFLICT,fmt/102,CONFLICT,'','','',1,1,'','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'TokenMgrError: Lexical error at line 298 column 24.  Encountered: \"-\" (45) after : \"\"','','','',HTML,SINGLE_RESULT,'','','','',Document,xml,'','','','','','','','','','','','','','','','','','','',''
'Extensible Hypertext Markup Language','','Hypertext Markup Language','','Extensible Hypertext Markup Language','Hypertext Markup Language','','','',text/html,'',application/xhtml+xml,text/html,'','',CONFLICT,fmt/102,CONFLICT,'','','',1,1,'','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Document must have implicit or explicit HEAD element','','','',HTML,SINGLE_RESULT,'','','','',Document,sql,SINGLE_RESULT,'','','',iso-8859-1,'','','','','','','','','','','','','','',''
'Hypertext Markup Language','Hypertext Markup Language','HTML Transitional','','Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','',text/html,text/html,'',text/html,text/html,text/html,'',CONFLICT,fmt/99,CONFLICT,'','HTML 4.0','',4,'','','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Undefined attribute for element Name = a Attribute = valign Line = 398 Column = 44','','',SINGLE_RESULT,HTML,SINGLE_RESULT,'HTML 4.0','','','',Document,html,'','','','','','','','','','','','','','','','','','','',''
'Hypertext Markup Language','Hypertext Markup Language','HTML Transitional','','Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','',text/html,text/html,'',text/html,text/html,text/html,'',CONFLICT,fmt/99,CONFLICT,'','HTML 4.0','',4,'','','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Unknown tag Name = nobr Line = 20 Column = 8','','',SINGLE_RESULT,HTML,SINGLE_RESULT,'HTML 4.0','','','',Document,html,SINGLE_RESULT,'',iso-8859-1,'','','','','','','','','','','','','','','','',''
'Hypertext Markup Language','Hypertext Markup Language','HTML Transitional','','Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','',text/html,text/html,'',text/html,text/html,text/html,'',CONFLICT,fmt/99,CONFLICT,'','HTML 4.0','',4,'','','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Improper value for attribute Element = td Attribute = align Value = middle Line = 189 Column = 16','','',SINGLE_RESULT,HTML,SINGLE_RESULT,'HTML 4.0','','','',Document,html,SINGLE_RESULT,'',windows-1250,'','','','','','','','','','','','','','','','',''
'Hypertext Markup Language','Hypertext Markup Language','HTML Transitional','','Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','',text/html,text/html,'',text/html,text/html,text/html,'',CONFLICT,fmt/99,CONFLICT,'','HTML 4.0','',4,'','','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Undefined attribute for element Name = body Attribute = text Line = 9 Column = 25','','',SINGLE_RESULT,HTML,SINGLE_RESULT,'HTML 4.0','','','',Document,html,'','','','','','','','','','','','','','','','','','','',''
'Hypertext Markup Language','Hypertext Markup Language','HTML Transitional','','Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','',text/html,text/html,'',text/html,text/html,text/html,'',CONFLICT,fmt/99,CONFLICT,'','HTML 4.0','',4,'','','','',SINGLE_RESULT,SINGLE_RESULT,SINGLE_RESULT,'Missing required attribute Tag = img Attribute = alt Line = 122 Column = 34','','',SINGLE_RESULT,HTML,SINGLE_RESULT,'HTML 4.0','','','',Document,html,'','','','','','','','','','','','','','','','','','','',''
'Hypertext Markup Language','Hypertext Markup Language','HTML Transitional','','Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','',text/html,text/html,'',text/html,text/html,text/html,'',CONFLICT,fmt/99,CONFLICT,'','HTML 4.0','',4,'','','','',SINGLE_RESULT,SINGLE_RESULT,'','','','',SINGLE_RESULT,HTML,SINGLE_RESULT,'HTML 4.0','','','',Document,html,'','','','','','','','','','','','','','','','','','','',''
'Hypertext Markup Language','Hypertext Markup Language','HTML Transitional','','Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','',text/html,text/html,'',text/html,text/html,text/html,'',CONFLICT,fmt/99,CONFLICT,'','HTML 4.0','',4,'','','','',SINGLE_RESULT,SINGLE_RESULT,'','','','',SINGLE_RESULT,HTML,SINGLE_RESULT,'HTML 4.0','','','',Document,html,'','','','','','','','','','','','','','','','','','','',''
'Hypertext Markup Language','Hypertext Markup Language','HTML Transitional','','Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','',text/html,text/html,'',text/html,text/html,text/html,'',CONFLICT,fmt/99,CONFLICT,'','HTML 4.0','',4,'','','','',SINGLE_RESULT,SINGLE_RESULT,'','','','',SINGLE_RESULT,HTML,SINGLE_RESULT,'HTML 4.0','','','',Document,html,'','','','','','','','','','','','','','','','','','','',''
'Hypertext Markup Language','Hypertext Markup Language','HTML Transitional','','Hypertext Markup Language','Hypertext Markup Language','Hypertext Markup Language','',text/html,text/html,'',text/html,text/html,text/html,'',CONFLICT,fmt/99,CONFLICT,'','HTML 4.0','',4,'','','','',SINGLE_RESULT,SINGLE_RESULT,'','','','',SINGLE_RESULT,HTML,SINGLE_RESULT,'HTML 4.0','','','',Document,html,'','','','','','','','','','','','','','','','','','','',''
